iot.id,name,description,Datastreams
666046bda81c7312ce3490f0,CM2-PK-001-C04,ซอย พึ่งมี 50 (นิรันทร์วิลล่า)-CAM4,
666046bea81c7312ce3490f3,CM2-PK-002-C01,ซอยวชิรธรรมสาธิต 32-CAM1,
666046c1a81c7312ce3490f6,CM2-PK-002-C02,ซอยวชิรธรรมสาธิต 32-CAM2,
666046c29efb8d1af6b401d1,CM2-PK-002-C04,ซอยวชิรธรรมสาธิต 32-CAM4,
666046c2a81c7312ce3490fb,CM2-PK-002-C03,ซอยวชิรธรรมสาธิต 32-CAM3,
666046c39efb8d1af6b401d4,CM2-PK-003-C02,ปากซอยปุณวิถี 25-CAM2,
666046c3a81c7312ce349103,CM2-PK-003-C01,ปากซอยปุณวิถี 25-CAM1,
666046c49efb8d1af6b401d7,CM2-PK-003-C03,ปากซอยปุณวิถี 25-CAM3,
666046c49efb8d1af6b401db,CM2-PK-003-C04,ปากซอยปุณวิถี 25-CAM4,
666046c5a81c7312ce349112,CM2-PK-004-C01,ซอยพึ่งมี 29 เชื่อมซอยอ่อนนุช 30-CAM1,
666046c5a9ff45d3521c4a38,CM2-PK-004-C02,ซอยพึ่งมี 29 เชื่อมซอยอ่อนนุช 30-CAM2,
666046c5a9ff45d3521c4a3c,CM2-PK-004-C03,ซอยพึ่งมี 29 เชื่อมซอยอ่อนนุช 30-CAM3,
666046c6a81c7312ce34911c,CM2-PK-004-C04,ซอยพึ่งมี 29 เชื่อมซอยอ่อนนุช 30-CAM4,
666046c6a81c7312ce349120,CM2-PK-005-C01,ซอยสุขุมวิท 64/1-CAM1,
666046c79efb8d1af6b401e5,CM2-PK-005-C03,ซอยสุขุมวิท 64/1-CAM3,
666046c7a81c7312ce349125,CM2-PK-005-C02,ซอยสุขุมวิท 64/1-CAM2,
666046c8a81c7312ce34912d,CM2-PK-005-C04,ซอยสุขุมวิท 64/1-CAM4,
666046c9a81c7312ce349131,CM2-PK-006-C01,ซอยปุณณวิถี 47-CAM1,
